// ©2003 GS ShopBuilder - Todos los Derechos quedan reservados. 	 	Todas los derechos de traducción reservados.	date20020104	
// ©2003 GS ShopBuilder - Alle Rechte vorbehalten.	 	Alle Übersetzungsrechte vorbehalten.	date20020105	
// ©2003 GS ShopBuilder - Alle Rechten Voorbehouden. 	 		date20020106	
// ©2003 GS ShopBuilder - Med ensamrätt.	 	 	date20020107	sv
// ©2003 GS ShopBuilder - Tutti i Diritti Riservati. 	 	Tutti i diritti di traduzione riservati.	date20020108	
// ©2003 GS ShopBuilder - Todos os Direitos Reservados.	 	Todas os direitos de tradução reservados.	date20020109	
LangTagFieldFirmVATId	dan	MomsID	date20041221	
LangTagFNFieldFirmVATId	dan	MomsID	date20041221	
LangTagNoVariantDetail	dan	Til denne artikel findes ingen yderligere informationer	date20050104	
LangTagTextPreview	dan	Template preview	date20050104	
LangTagFNFieldSubTotal	dan	Subtotal	date20050106	
LangTagFNSubTotal	dan	Subtotal	date20050106	
LangTagTextGoodsValue	dan	vareværdi	date20050111	
LangTagAdressData	dan	Addressedata	date20050112	
LangTagChangeAddress	dan	Ændre Adressedata	date20050112	
LangTagSave	dan	Gem	date20050112	
LangTagTextAdressData	dan	Du har her mulighed for at ændre dine adresseoplysninger i vores onlineshop. <br /> Ændre sine oplysninger og afslut med at klikke på "Gem". <br /> De med * markerede felter skal udfyldes.	date20050112	
LangTagTextLogin	dan	Login	date20050112	
LangTagTextLogin	dan	Kundelogin	date20050112	
LangTagTextLogout	dan	Logout	date20050112	
LangTagTextPassword	dan	Adgangskode	date20050112	
LangTagTextUser	dan	Brugernavn	date20050112	
LangTagTextLoginError	dan	Login mislykkedes	date20050113	
LangTagTextLoginWelcome	dan	Velkommen	date20050113	
LangTagDescription	dan	Beskrivelse	date20050114	
LangTagManufacturer	dan	Producent	date20050114	
LangTagRequest	dan	Forespørgsel	date20050114	
LangTagRequestFormular	dan	Forespørgselsformular	date20050114	
LangTagRequestSubmit	dan	Send forespørgsel	date20050114	
LangTagRequestText	dan	2. Udfyld venligst følgende forespørgselsformular (de med * markerede felter skal udfyldes). Afslut med at klikke på knappen "Send forespørgsel".	date20050114	
LangTagTextChangePassword	dan	Ændre adgangskode	date20050114	
LangTagTextPasswordNew	dan	New Password	date20050114	
LangTagTextPasswordOld	dan	Gammel adgangskode	date20050114	
LangTagTextRepetition	dan	Gentag din nye adgangskode	date20050114	
LangTagMsgChangePasswordNotFoundError	dan	Kunne ikke finde adgangskoden	date20050116	
